,x,y,z,j0,j1,j2,j3,j4,j5
0,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
1,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
2,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
3,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
4,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
5,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
6,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
7,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
8,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
9,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
10,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
11,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
12,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
13,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
14,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
15,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
16,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
17,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
18,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
19,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
20,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
21,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
22,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
23,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
24,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
25,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
26,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
27,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
28,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
29,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
30,0.008728,0.105265,0.053893999999999984,0.0,0.0,0.0,0.0,0.0,0.0
31,0.00890118380534519,0.10501423462105748,0.05339337568495131,-0.0016490315099920354,0.00280221283867629,-0.002282834476115961,0.00021566845362223585,-1.2603809198662363e-05,-6.925208111812434e-08
32,0.009079132724159096,0.1047579500125093,0.05288722029535148,-0.0033513675765307668,0.005638561214235437,-0.004607183878284731,0.0004528098207403851,-2.650807591688367e-05,-2.5522847042724776e-07
33,0.009261713348187803,0.10449672753255615,0.0523768979447812,-0.005106331444973408,0.008508174629457159,-0.006959632319673024,0.0007043216323886651,-4.150014377136982e-05,-5.16798414943121e-07
34,0.009627874003273574,0.10399636318234964,0.05138307169637052,-0.00864958216693252,0.014174228024240088,-0.011506334385560302,0.0013193514491504198,-7.917353911142015e-05,-1.1787758151010016e-06
35,0.010000514248407597,0.10349702753360442,0.050405331072258766,-0.012288191356894773,0.019808492204950644,-0.015983518014124846,0.0019770312818159236,-0.0001200965189537435,-1.9702214449182088e-06
36,0.010194017175852894,0.10323338910716578,0.04990878477263791,-0.01419153160044812,0.02267640382977525,-0.01828054298526922,0.0022877683425621405,-0.00013952520629963746,-2.4046261006920742e-06
37,0.010581610219835896,0.10273420619253167,0.048945607193021407,-0.0180270174402855,0.028329434381791224,-0.022679158549794926,0.0030295759512029394,-0.00018612070553509867,-3.338506968210482e-06
38,0.010975116527504436,0.10224147498326779,0.0480016167802262,-0.021954418846158927,0.03393905816597745,-0.02697629582358933,0.003824220819730557,-0.00023609425728622502,-4.346847883994416e-06
39,0.011374538814401116,0.10175590133244848,0.047076481701274,-0.025973919771338044,0.03950539267804151,-0.031170174811381512,0.00467303404087957,-0.0002894420259950625,-5.416929631693146e-06
40,0.011779887151409131,0.10127790021586128,0.046169685973754884,-0.030085698331574033,0.045028915516992216,-0.03526078900578721,0.0055767553108382025,-0.0003461585003157994,-6.538842434363334e-06
41,0.012191176625873747,0.10080771098158052,0.04528060398125765,-0.03428991750974413,0.05051043332412254,-0.03924915527146057,0.0065358352338350315,-0.0004062421630595312,-7.70447896686038e-06
42,0.01260842625397212,0.10034547123305981,0.04440855021041694,-0.03858671837446063,0.05595102697277643,-0.04313683245154381,0.0075506163596886266,-0.00046969844114567853,-8.907096395402739e-06
43,0.013031658683385149,0.09989126408310768,0.04355281269278914,-0.042976215443611125,0.06135198857196213,-0.04692561241744865,0.00862143691229254,-0.0005365408905613195,-1.0140981167743957e-05
44,0.013460900138490522,0.09944514829211759,0.042712675550690485,-0.04745849119778803,0.06671475883040441,-0.0506173229083035,0.009748686490903501,-0.0006067912690971463,-1.1400954879639408e-05
45,0.01389618094952599,0.09900717730684683,0.041887434147827404,-0.05203359459408488,0.07204086929264827,-0.05421370330988411,0.01093283245667237,-0.0006804793291891914,-1.268312668307038e-05
46,0.014337537230644248,0.09857741098970862,0.041076405159287135,-0.056701550270108834,0.07733189157553094,-0.05771632816565512,0.012174428695191844,-0.0007576419756054729,-1.3984518942261659e-05
47,0.014785010564989844,0.0981559228824135,0.04027893308519567,-0.061462347290883464,0.08258939428269028,-0.06112656245987602,0.013474113685977581,-0.0008383221095868071,-1.530210695005352e-05
48,0.01545473709693174,0.09757536084435946,0.03913737440410767,-0.0686200099492791,0.09024821748930396,-0.0658696620153497,0.015585336696553919,-0.000969301373325637,-1.730314486847695e-05
49,0.016131355618194294,0.09701749866138934,0.03803201824773915,-0.07590364818001674,0.09776917052614345,-0.07037845779273393,0.017795878546758227,-0.0011062305285953079,-1.9327204579136343e-05
50,0.01681562027034373,0.09648155808370909,0.03695920034717004,-0.0833173894724174,0.1051676576542117,-0.07466536322788815,0.020107828274525757,-0.0012492545406890933,-2.1368418878156264e-05
51,0.01750822765366932,0.09596700066915416,0.03591577432168512,-0.09086458299239113,0.11245683434921333,-0.07874017621655986,0.022523564025605704,-0.0013985345469059317,-2.342215228661689e-05
52,0.018209831868559238,0.09547349200562086,0.034899035448048274,-0.09854787458845418,0.11964786625019545,-0.08261046634255653,0.025045624765359414,-0.0015542398753459257,-2.5484672198670768e-05
53,0.019145422582281982,0.09488368655772972,0.03361139197194116,-0.10881285350993841,0.12891435553940417,-0.08726732397435225,0.028604938700641173,-0.0017738532398765636,-2.8243228729529844e-05
54,0.020093717728135056,0.09433047552065339,0.032366656690530515,-0.11925793569752581,0.13799996108835338,-0.09157780763477578,0.032325441144979226,-0.002003165478712721,-3.100667450452078e-05
55,0.02105644458090511,0.09381320150649669,0.03115988044033463,-0.1298892146956275,0.14692660361964247,-0.09555511418113566,0.036212839163191686,-0.0022425518275698115,-3.3770961539934924e-05
56,0.02226502558065479,0.09325031879534965,0.029729560464024363,-0.1432136027985249,0.1576859053137861,-0.09989069222108378,0.041311199308897324,-0.0025562852906348046,-3.722298465186017e-05
57,0.023496532751283397,0.09273966832835136,0.028347146829438716,-0.15678155001471028,0.16822875843383245,-0.1037491273023605,0.04664826623637321,-0.0028844113836308826,-4.06675839354016e-05
58,0.024987899467977345,0.09222561863567495,0.026775300316848882,-0.17311953812399794,0.18040996997907616,-0.10760282020023865,0.053341044081507104,-0.0032955413753982692,-4.478745610324749e-05
59,0.026516547107537175,0.09178054253023382,0.025256395000305062,-0.1897670665802198,0.19233604783133798,-0.11082961956927276,0.06035866759884708,-0.0037262660178898695,-4.8889781836766456e-05
60,0.028086641741783304,0.09140429174438702,0.023785325027796955,-0.2067191094596179,0.2040244944199866,-0.11343660224994019,0.06770566250501478,-0.0041768902338170455,-5.297275447149433e-05
61,0.02994960397076804,0.0910706873059267,0.02215325539402696,-0.22655375869331204,0.21716172111164278,-0.11560451759725776,0.07659641698593433,-0.004721739049075526,-5.771048328873669e-05
62,0.03187440091170036,0.0908220611165568,0.02057456510443624,-0.24672335414800567,0.23000799529741314,-0.11698793660377939,0.08589488982071045,-0.005291189199641897,-6.242045877366432e-05
63,0.03386500679356982,0.09065675825593925,0.019047066068216045,-0.26719093505953645,0.24256274114504006,-0.11759451981464858,0.09558872047739293,-0.005884497516618378,-6.710303559107774e-05
64,0.036189599487677526,0.0905690307380943,0.01738666882137546,-0.29053740059060806,0.256355216297185,-0.11734765213085918,0.10695841360484216,-0.006579758406693328,-7.242225762192193e-05
65,0.03860193652069684,0.09057297697769706,0.015787423449170945,-0.31412078238239105,0.2697739371033068,-0.11617918474870066,0.11875485863774486,-0.007300693126669657,-7.770961146348427e-05
66,0.04110242370057145,0.09066153183357609,0.014249961593161845,-0.3378550267124244,0.2828075312690958,-0.11412294487091404,0.13093509901867073,-0.008044692144779578,-8.296776205728524e-05
67,0.04339891852149836,0.09081378223362142,0.012942054719058432,-0.3589810995621491,0.29401660215105024,-0.11154903462872592,0.14206195841495278,-0.008724316182804103,-8.754703256172038e-05
