,x,y,z,j0,j1,j2,j3,j4,j5
2596,0.088156461,0.125031674,0.108676713,-0.557049244,-0.10897485,0.259113025,0.25549937,-0.019453547,-0.000523372
2597,0.088156461,0.125031674,0.108676713,-0.557049244,-0.10897485,0.259113025,0.25549937,-0.019453547,-0.000523372
2598,0.088156461,0.125031674,0.108676713,-0.557049244,-0.10897485,0.259113025,0.25549937,-0.019453547,-0.000523372
2599,0.088156461,0.125031674,0.108676713,-0.557049244,-0.10897485,0.259113025,0.25549937,-0.019453547,-0.000523372
2600,0.087567126,0.125118703,0.108228385,-0.553466789,-0.108748224,0.257154047,0.253685639,-0.019346072,-0.000524148
2601,0.087567126,0.125118703,0.108228385,-0.553466789,-0.108748224,0.257154047,0.253685639,-0.019346072,-0.000524148
2602,0.087567126,0.125118703,0.108228385,-0.553466789,-0.108748224,0.257154047,0.253685639,-0.019346072,-0.000524148
2603,0.087567126,0.125118703,0.108228385,-0.553466789,-0.108748224,0.257154047,0.253685639,-0.019346072,-0.000524148
2604,0.087567126,0.125118703,0.108228385,-0.553466789,-0.108748224,0.257154047,0.253685639,-0.019346072,-0.000524148
2605,0.086978627,0.125203226,0.107781558,-0.549885795,-0.108513149,0.255200212,0.25188269,-0.019239243,-0.000524925
2606,0.086978627,0.125203226,0.107781558,-0.549885795,-0.108513149,0.255200212,0.25188269,-0.019239243,-0.000524925
2607,0.086978627,0.125203226,0.107781558,-0.549885795,-0.108513149,0.255200212,0.25188269,-0.019239243,-0.000524925
2608,0.086978627,0.125203226,0.107781558,-0.549885795,-0.108513149,0.255200212,0.25188269,-0.019239243,-0.000524925
2609,0.086978627,0.125203226,0.107781558,-0.549885795,-0.108513149,0.255200212,0.25188269,-0.019239243,-0.000524925
2610,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2611,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2612,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2613,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2614,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2615,0.086390931,0.125285245,0.107336066,-0.546306043,-0.108269215,0.253250983,0.250090219,-0.019133041,-0.0005257
2616,0.08579789,0.12536483,0.106881953,-0.542692556,-0.107996439,0.251270922,0.248282866,-0.019025892,-0.000526475
2617,0.08579789,0.12536483,0.106881953,-0.542692556,-0.107996439,0.251270922,0.248282866,-0.019025892,-0.000526475
2618,0.08579789,0.12536483,0.106881953,-0.542692556,-0.107996439,0.251270922,0.248282866,-0.019025892,-0.000526475
2619,0.08579789,0.12536483,0.106881953,-0.542692556,-0.107996439,0.251270922,0.248282866,-0.019025892,-0.000526475
2620,0.08579789,0.12536483,0.106881953,-0.542692556,-0.107996439,0.251270922,0.248282866,-0.019025892,-0.000526475
2621,0.085206019,0.125441911,0.106430176,-0.539082073,-0.107717118,0.249298663,0.246488039,-0.018919497,-0.00052725
2622,0.085206019,0.125441911,0.106430176,-0.539082073,-0.107717118,0.249298663,0.246488039,-0.018919497,-0.00052725
2623,0.085206019,0.125441911,0.106430176,-0.539082073,-0.107717118,0.249298663,0.246488039,-0.018919497,-0.00052725
2624,0.085206019,0.125441911,0.106430176,-0.539082073,-0.107717118,0.249298663,0.246488039,-0.018919497,-0.00052725
2625,0.085206019,0.125441911,0.106430176,-0.539082073,-0.107717118,0.249298663,0.246488039,-0.018919497,-0.00052725
