xpos_error,iterations
0.0009997333071656304,10602
0.0009996560415660946,7409
0.0009997364739638092,2520
0.00099970089776906,5495
0.0009998441244836247,6169
0.0009996561680944774,2371
0.0009995852639430374,6610
0.0009999052982868145,7186
0.000999862296193412,9010
0.0009999747945284838,9992
0.01015678745948095,20000
0.0016254147324559303,20000
0.0009998240937702633,4857
0.0009999710519177291,3774
0.0009995855882292928,4040
0.0009999484133322413,12339
0.0009996743986557428,2336
0.0009999868911732296,2385
0.011244764608925097,20000
0.0009995636269206928,3496
0.000999814602038219,3212
0.0009997039598479472,5941
0.0016005638430660516,20000
0.000998672690967119,2614
0.0009989731182098037,2813
0.0009993461860769428,2636
0.0009995543576434573,5712
0.001198226654652585,20000
0.0009999052982868145,7186
0.0009985777266884924,2299
0.000999267634174183,2047
0.0009981049149362054,4099
0.0009991910906334005,3582
0.002075024352320961,20000
0.000999084315741782,3277
0.002839713855403022,20000
0.0009998216173164902,10460
0.0030908207914678043,20000
0.0011862352620922874,20000
0.0009996646014071358,5306
0.0009981308681276588,5000
0.0009998707514561253,6728
0.0009971857426793794,1512
0.0009995973246266433,2886
0.000999567398980117,5885
0.0009998346138806878,2666
0.0009966922460122732,1437
0.000998795793020467,3632
0.000998795369296934,1988
0.0009996133072477473,8851
0.0020536332333264324,20000
0.006032077051784191,20000
0.055193003593809895,20000
0.0009996006187459102,6681
0.0009983658498055085,2079
0.0009994841428183987,2292
0.0009999663142462492,10979
0.0009981257899292727,971
0.0009998551827881815,3244
0.0009994690020273549,2452
0.004766162151238449,20000
0.0011821430310932422,20000
0.000999722770515242,9588
0.005173734210042938,20000
0.0012544341882437073,20000
0.000998789588831725,3213
0.000999055886625934,1708
0.007019977649797634,20000
0.0009992594000068733,939
0.0009999606412481761,10636
0.004800384686298301,20000
0.0009999615298101345,11413
0.011574807788348462,20000
0.00840079608578017,20000
0.0009995306382488333,4318
0.0009993311415044046,3225
0.0009985519934705921,4116
0.0009999050193010197,17783
0.0037238773872768495,20000
0.003633612237953026,20000
0.000998627047442074,1649
0.004047602945091978,20000
0.0009999324943263386,17070
0.0009998985202734519,7518
0.00140512414892584,20000
0.000999899849917793,9018
0.0009999148887849315,12533
0.0009995621258910754,5260
0.0009998339567711494,15345
0.000998964901104647,3462
0.0009995395823105436,3379
0.0009986941447492242,1447
0.000999455903716393,6236
0.0009999783820103792,17766
0.02257146706814803,20000
0.0038329547383441917,20000
0.0009998705000414658,7892
0.0012643794607138624,20000
0.0009988456232097175,2471
0.0009971241204119175,809
