xpos_error,iterations
0.05711294846142676,200
0.1451045877638617,200
0.045859518595184556,200
0.08525461689280867,200
0.06465157110496167,200
0.16925277146817921,200
0.157727677493575,200
0.027812582484332812,200
0.03308693539779822,200
0.07937227558636023,200
0.04758914408237824,200
0.08864626942939668,200
0.18345753487287636,200
0.12754856230913966,200
0.07844625837819494,200
0.014143220595314353,200
0.1310877859905847,200
0.025819533893566848,200
0.09593135210470892,200
0.06819081878893136,200
0.014352114729307603,200
0.09801563541305047,200
0.0294467245747844,200
0.11671773481102617,200
0.08612611105471747,200
0.06229218373848024,200
0.04233147732333869,200
0.06693727324648902,200
0.027812582484332812,200
0.06194673613147546,200
0.0670931307938143,200
0.1102001471297046,200
0.11936643227422228,200
0.06808871573915945,200
0.10051694690046599,200
0.04637808575504398,200
0.1018707990180554,200
0.04470979289277643,200
0.08291544212545128,200
0.010289667206014822,200
0.0971297719913705,200
0.05697216261716103,200
0.07081713606583366,200
0.037784567122253275,200
0.05697214650386561,200
0.18699677556199606,200
0.08751860533317003,200
0.052168415389388684,200
0.06725824825679756,200
0.04302890808001324,200
0.06267092057114478,200
0.011606419209255012,200
0.20447716045739855,200
0.04294846472567045,200
0.05633597174630392,200
0.06173589000259748,200
0.10237517826703804,200
0.029077553936791067,200
0.031166811086101563,200
0.1318783478026484,200
0.04037440893994733,200
0.07402524781413679,200
0.1574732452505512,200
0.09667982674402072,200
0.05191933596348767,200
0.09587326729980053,200
0.08675543261387363,200
0.06865692507492861,200
0.006863619778538829,200
0.04727508470128058,200
0.021305518396884913,200
0.053095619518176,200
0.02534120838976309,200
0.07386080416284031,200
0.12125762470205659,200
0.0957684575241513,200
0.09886797731577614,200
0.09001501212339293,200
0.059623141653702624,200
0.06173615448340715,200
0.15247565364416055,200
0.11365775940065045,200
0.07151052063822522,200
0.14188112546793014,200
0.046540760794681654,200
0.05943324440496665,200
0.17821936547745929,200
0.12804874352141862,200
0.06947275590604222,200
0.10953370675448154,200
0.06471246421095747,200
0.013666303752892333,200
0.17656248309499686,200
0.09384969874254746,200
0.1002152941329727,200
0.03026926563877141,200
0.09537179449340825,200
0.09276667597919228,200
0.055462734831297975,200
0.008185340433420705,200
